招聘信息id,求职者id,匹配度
1482195512210882569,1469222105404014592,0.9425098449196876
1482185135670558724,1469222105404014592,0.9291529799497811
1482185135670558723,1469222105404014592,0.9291529799497811
1482196087983964187,1582598236647063552,0.9203679340914984
1482183292638855168,1582598236647063552,0.9145723448187738
1482183292634660864,1582598236647063552,0.9145723448187738
1482193772577161224,1582598236647063552,0.9135978307480324
1482193772577161223,1582598236647063552,0.9135978307480324
1482192126010851329,1582598236647063552,0.910971646500501
1482196280712232987,1469222105404014592,0.9084320260241356
1482196280712232985,1469222105404014592,0.9084320260241356
1482196338836897802,1469222105404014592,0.9084320260241356
1482196338836897804,1469222105404014592,0.9084320260241356
1482192491158568964,1582598236647063552,0.9064972252754702
1631112859985510400,1470313042016337920,0.9056445613065077
1526834259040534528,1469222105404014592,0.9049939893319923
1482195512210882569,1470313042016337920,0.9038885770408378
1482184364296110082,1582598236647063552,0.9038458449471838
1482184364296110081,1582598236647063552,0.9038458449471838
1567747885687242752,1469222105404014592,0.9025829274580806
1482194903424434217,1469222105404014592,0.9011293217983785
1482194903424434218,1469222105404014592,0.9011293217983785
1482196280712232987,1467792600214929408,0.9007307011813713
1482196280712232985,1467792600214929408,0.9007307011813713
1482196338836897802,1467792600214929408,0.9007307011813713
1482196338836897804,1467792600214929408,0.9007307011813713
1482192783140847616,1582598236647063552,0.9004728307480323
1482192783140847617,1582598236647063552,0.9004728307480323
1482195175144030213,1469222105404014592,0.8989722312276586
1482195175144030215,1469222105404014592,0.8989722312276586
1482192491158568974,1582598236647063552,0.8987175187159601
1482192126040211466,1582598236647063552,0.8983350131313891
1482194394982514690,1582598236647063552,0.8949970542547773
1482192491158568971,1582598236647063552,0.8940861674347036
1524992426459136001,1469222105404014592,0.893182160933602
1482194288883400704,1582598236647063552,0.8923191802097731
1482195175148224521,1469222105404014592,0.8911459758439352
1482195175148224520,1469222105404014592,0.8911459758439352
1482182764089442304,1582598236647063552,0.8907522185057012
1482195512215076867,1469222105404014592,0.8890237028996262
1482192126040211456,1582598236647063552,0.888479494810676
1482195175144030225,1582598236647063552,0.8872110462132793
1482195175144030223,1582598236647063552,0.8872110462132793
1526834259040534528,1467792600214929408,0.8869898700005246
1539456406367895552,1467792600214929408,0.8869514245954524
1539449854449811456,1467792600214929408,0.8869514245954524
1482184690797510659,1582598236647063552,0.8866893398408638
1482192126040211464,1582598236647063552,0.8865088538215765
1482192055257137152,1468110505502703616,0.8862085097550751
1482196338832703503,1469222105404014592,0.8860979260594384
1539449854449811456,1469222105404014592,0.8854755751463168
1539456406367895552,1469222105404014592,0.8854755751463168
1631112859897430016,1470313042016337920,0.8850298183896173
1482184521620258818,1582598236647063552,0.8849519867344465
1482184521620258819,1582598236647063552,0.8849519867344465
1534374988734398465,1582598236647063552,0.8844433777938808
1482194903416045577,1582598236647063552,0.8842835707824968
1524992426459136003,1467792600214929408,0.8842438889493168
1482185135674753032,1582598236647063552,0.8825837933692272
1482185135683141632,1582598236647063552,0.8825837933692272
1482184521620258821,1469222105404014592,0.8825024730778342
1482185263349366787,1582598236647063552,0.8818959423825815
1528570603106336768,1467792600214929408,0.8815048789678106
1482195512210882569,1582598236647063552,0.8806477580278562
1482194051863281666,1582598236647063552,0.8799184914174173
1482191940312236047,1469222105404014592,0.8797299509319778
1482185135670558723,1470313042016337920,0.879641509987529
1482185135670558724,1470313042016337920,0.879641509987529
1482194903428628490,1469222105404014592,0.8795686505816405
1482195512215076868,1582598236647063552,0.87931320232753
1482192491154374656,1582598236647063552,0.8791763656957889
1482194288887595015,1582598236647063552,0.8780745635634095
1482194288887595014,1582598236647063552,0.8780745635634095
1482194288887595013,1582598236647063552,0.8780745635634095
1482183390651351040,1467792600214929408,0.8779049910195575
1523853950648975361,1469222105404014592,0.8770470554313319
1482192311990484993,1582598236647063552,0.877021238707885
1482185135674753033,1582598236647063552,0.8766042433178893
1482185135683141633,1582598236647063552,0.8766042433178893
1482196280712232985,1470313042016337920,0.8764434946794517
1482196338836897802,1470313042016337920,0.8764434946794517
1482196280712232987,1470313042016337920,0.8764434946794517
1482196338836897804,1470313042016337920,0.8764434946794517
1482192055257137152,1469222105404014592,0.8763156122451281
1482194051863281665,1582598236647063552,0.8762965578184111
1482194288883400705,1582598236647063552,0.8761285740272864
1482185135674753034,1582598236647063552,0.8759570645547441
1482185135683141634,1582598236647063552,0.8759570645547441
1482195642796343297,1582598236647063552,0.8755985746729277
1482195868789637127,1582598236647063552,0.8755985746729277
1539456406367895553,1469222105404014592,0.8754571900144916
1482194903428628481,1469222105404014592,0.8735717054813401
1482195175144030226,1582598236647063552,0.8725748065600292
1482194190791213064,1582598236647063552,0.8720993660577517
1524992426459136003,1469222105404014592,0.8715160394568727
1523505369161269249,1467792600214929408,0.871329793348436
1482194457225986058,1582598236647063552,0.8711119343445765
1526834259040534528,1599636587363303424,0.8707439367528425
1482195175148224541,1582598236647063552,0.8707378601106148
1482195175144030215,1470313042016337920,0.8697414757687619
1482195175144030213,1470313042016337920,0.8697414757687619
1482194457225986062,1582598236647063552,0.8695422377379717
1482194457225986061,1582598236647063552,0.8695422377379717
1482192956965388288,1582598236647063552,0.8690640678495526
1482192989353803786,1582598236647063552,0.8690640678495526
1482185135670558725,1469222105404014592,0.8689294890881019
1523853950648975361,1470313042016337920,0.8688439379707593
1482194394978320386,1582598236647063552,0.8688072819741833
1539456406367895552,1582598236647063552,0.868286866763735
1539449854449811456,1582598236647063552,0.868286866763735
1482195175144030218,1582598236647063552,0.8679415304264219
1482196338832703503,1470313042016337920,0.8677896843493761
1482196148411301899,1582598236647063552,0.8675079732637371
1482195359529828368,1469222105404014592,0.8673936499100621
1482192055257137152,1470313042016337920,0.867214487433736
1482194903420239873,1582598236647063552,0.8671439078931316
1524992426459136003,1470313042016337920,0.8667452786389984
1482195175148224521,1467792600214929408,0.8661354375966089
1482195175148224520,1467792600214929408,0.8661354375966089
1526834259040534528,1470313042016337920,0.8658396368349345
1482184521620258821,1582598236647063552,0.8655833342778343
1482196338832703503,1582598236647063552,0.8655594371325911
1523505369165463552,1469222105404014592,0.8653396323783783
1482192989353803788,1582598236647063552,0.8651787575797922
1482192956965388290,1582598236647063552,0.8651787575797922
1482195175144030213,1582598236647063552,0.8646476306439699
1482195175144030215,1582598236647063552,0.8646476306439699
