招聘信息id,求职者id,匹配度,岗位数量
1482195512210882569,1469222105404014592,0.9425098449196876,0
1482185135670558724,1469222105404014592,0.9291529799497811,0
1482185135670558723,1469222105404014592,0.9291529799497811,0
1482196087983964187,1582598236647063552,0.9203679340914984,0
1482183292638855168,1582598236647063552,0.9145723448187738,0
1482183292634660864,1582598236647063552,0.9145723448187738,0
1482193772577161224,1582598236647063552,0.9135978307480324,0
1482193772577161223,1582598236647063552,0.9135978307480324,0
1482192126010851329,1582598236647063552,0.910971646500501,0
1482196280712232987,1469222105404014592,0.9084320260241356,0
1482196280712232985,1469222105404014592,0.9084320260241356,0
1482196338836897802,1469222105404014592,0.9084320260241356,0
1482196338836897804,1469222105404014592,0.9084320260241356,0
1482192491158568964,1582598236647063552,0.9064972252754702,0
1631112859985510400,1470313042016337920,0.9056445613065077,0
1526834259040534528,1469222105404014592,0.9049939893319923,0
1482195512210882569,1470313042016337920,0.9038885770408378,0
1482184364296110082,1582598236647063552,0.9038458449471838,0
1482184364296110081,1582598236647063552,0.9038458449471838,0
1567747885687242752,1469222105404014592,0.9025829274580806,0
1482194903424434217,1469222105404014592,0.9011293217983785,0
1482194903424434218,1469222105404014592,0.9011293217983785,0
1482196280712232987,1467792600214929408,0.9007307011813713,0
1482196280712232985,1467792600214929408,0.9007307011813713,0
1482196338836897802,1467792600214929408,0.9007307011813713,0
1482196338836897804,1467792600214929408,0.9007307011813713,0
1482192783140847616,1582598236647063552,0.9004728307480323,0
1482192783140847617,1582598236647063552,0.9004728307480323,0
1482195175144030213,1469222105404014592,0.8989722312276586,0
1482195175144030215,1469222105404014592,0.8989722312276586,0
1482192491158568974,1582598236647063552,0.8987175187159601,0
1482192126040211466,1582598236647063552,0.8983350131313891,0
1482194394982514690,1582598236647063552,0.8949970542547773,0
1482192491158568971,1582598236647063552,0.8940861674347036,0
1524992426459136001,1469222105404014592,0.893182160933602,0
1482194288883400704,1582598236647063552,0.8923191802097731,0
1482195175148224521,1469222105404014592,0.8911459758439352,0
1482195175148224520,1469222105404014592,0.8911459758439352,0
1482182764089442304,1582598236647063552,0.8907522185057012,0
1482195512215076867,1469222105404014592,0.8890237028996262,0
1482192126040211456,1582598236647063552,0.888479494810676,0
1482195175144030225,1582598236647063552,0.8872110462132793,0
1482195175144030223,1582598236647063552,0.8872110462132793,0
1526834259040534528,1467792600214929408,0.8869898700005246,0
1539456406367895552,1467792600214929408,0.8869514245954524,0
1539449854449811456,1467792600214929408,0.8869514245954524,0
1482184690797510659,1582598236647063552,0.8866893398408638,0
1482192126040211464,1582598236647063552,0.8865088538215765,0
1482192055257137152,1468110505502703616,0.8862085097550751,0
1482196338832703503,1469222105404014592,0.8860979260594384,0
1539449854449811456,1469222105404014592,0.8854755751463168,0
1539456406367895552,1469222105404014592,0.8854755751463168,0
1631112859897430016,1470313042016337920,0.8850298183896173,0
1482184521620258818,1582598236647063552,0.8849519867344465,0
1482184521620258819,1582598236647063552,0.8849519867344465,0
1534374988734398465,1582598236647063552,0.8844433777938808,0
1482194903416045577,1582598236647063552,0.8842835707824968,0
1524992426459136003,1467792600214929408,0.8842438889493168,0
1482185135674753032,1582598236647063552,0.8825837933692272,0
1482185135683141632,1582598236647063552,0.8825837933692272,0
1482184521620258821,1469222105404014592,0.8825024730778342,0
1482185263349366787,1582598236647063552,0.8818959423825815,0
1528570603106336768,1467792600214929408,0.8815048789678106,0
1482195512210882569,1582598236647063552,0.8806477580278562,0
1482194051863281666,1582598236647063552,0.8799184914174173,0
1482191940312236047,1469222105404014592,0.8797299509319778,0
1482185135670558723,1470313042016337920,0.879641509987529,0
1482185135670558724,1470313042016337920,0.879641509987529,0
1482194903428628490,1469222105404014592,0.8795686505816405,0
1482195512215076868,1582598236647063552,0.87931320232753,0
1482192491154374656,1582598236647063552,0.8791763656957889,0
1482194288887595015,1582598236647063552,0.8780745635634095,0
1482194288887595014,1582598236647063552,0.8780745635634095,0
1482194288887595013,1582598236647063552,0.8780745635634095,0
1482183390651351040,1467792600214929408,0.8779049910195575,0
1523853950648975361,1469222105404014592,0.8770470554313319,0
1482192311990484993,1582598236647063552,0.877021238707885,0
1482185135674753033,1582598236647063552,0.8766042433178893,0
1482185135683141633,1582598236647063552,0.8766042433178893,0
